Menu,2022-05-04T12:07:02.529662400
ShownBooks,2022-05-04T12:07:07.726352600
Action,Time
Menu,2022-05-04T12:08:00.892516900
ShownBooks,2022-05-04T12:08:14.093178500
Action,Time
Menu,2022-05-04T12:09:05.266442600
ShownBooks,2022-05-04T12:09:09.998173100
ShownBooksFromTheSameYear,2022-05-04T12:09:20.509446100
ShownBooksFromTheSameYear,2022-05-04T12:09:29.742687400
Action,Time
Menu,2022-05-04T12:19:28.997156700
ShownBooksFromTheSameYear,2022-05-04T12:19:38.727754800
Action,Time
Menu,2022-05-04T12:22:39.081940100
ShownBooks,2022-05-04T12:22:43.089591700
Action,Time
Menu,2022-05-04T12:23:20.456345900
Action,Time
Menu,2022-05-04T12:24:48.193146600
ShownEvents,2022-05-04T12:24:51.366489700
ShownBooks,2022-05-04T12:24:57.028461300
ShownBooksFromTheSameYear,2022-05-04T12:25:03.923277600
Action,Time
Menu,2022-05-04T12:39:41.759973900
ShownEvents,2022-05-04T12:39:44.132475300
Action,Time
Menu,2022-05-04T12:40:04.562438700
ShownEvents,2022-05-04T12:40:07.962914700
Action,Time
Menu,2022-05-04T12:45:41.457688100
ShownAdultReaders,2022-05-04T12:45:50.017559900
Action,Time
Menu,2022-05-04T12:48:57.602360800
ShownBooks,2022-05-04T12:49:04.021992800
ShownEvents,2022-05-04T12:49:34.540621100
ShownAdultReaders,2022-05-04T12:49:39.734742400
ShownStudentReaders,2022-05-04T12:49:39.767971400
ShownEmployees,2022-05-04T12:49:46.845184200
Action,Time
Menu,2022-05-04T13:01:23.266545300
ShownBooks,2022-05-04T13:01:28.565710600
ShownEvents,2022-05-04T13:01:33.546071800
ShownAdultReaders,2022-05-04T13:01:52.839210300
ShownStudentReaders,2022-05-04T13:01:52.864286300
ShownAdultReaders,2022-05-04T13:02:48.265541700
ShownStudentReaders,2022-05-04T13:02:59.172785800
ShownEmployees,2022-05-04T13:03:05.368277500
Action,Time
Menu,2022-05-04T13:13:22.383269
ShownEmployees,2022-05-04T13:13:26.731736400
Action,Time
Menu,2022-05-04T13:24:32.767558400
ShownBooks,2022-05-04T13:24:41.308429500
Action,Time
Menu,2022-05-04T13:25:51.707232
ShownBooks,2022-05-04T13:25:57.165136600
ShownBooksFromTheSameYear,2022-05-04T13:26:11.378207300
Action,Time
Menu,2022-05-04T13:27:00.712250500
ShownAdultReaders,2022-05-04T13:27:05.924108800
